ABALADO,2.58,1.81,5.11,2.82
ABANDONADO,1.85,1.70,5.48,2.49
ABDUÇÃO,5.00,1.85,3.36,2.14
ABELHAS,4.58,2.45,4.38,2.83
ABENÇOADO,8.03,1.84,3.19,3.03
ABORTO,1.67,1.37,6.42,2.93
ABRAÇAR,8.63,1.20,4.30,3.34
ABRAÇO,8.77,0.75,3.38,3.00
ABRASADOR,5.43,1.91,3.53,2.49
ABRIGADO,7.61,1.98,3.21,2.41
ABSURDO,2.79,2.12,5.81,2.74
ABUNDÂNCIA,6.94,2.05,4.19,2.48
ABUSO,2.76,2.65,6.50,2.65
ACALMAR,7.23,1.81,2.68,2.05
ACANHADO,3.89,2.01,5.03,2.75
ACASO,6.17,2.10,4.28,2.48
ACEITAÇÃO,7.21,2.16,4.63,2.94
ACIDENTE,1.67,1.63,6.98,3.02
ACONCHEGANTE,8.29,1.69,3.76,2.94
ACONCHEGO,8.40,1.01,2.68,2.67
ACORDO,6.89,2.01,3.37,2.25
AÇÚCAR,7.04,1.71,3.91,2.58
ADAGA,4.32,2.30,4.27,2.46
ADMIRADO,7.67,1.53,4.49,2.82
ADORÁVEL,8.24,1.57,4.00,3.26
ADULTO,6.49,1.99,3.75,2.46
AFEIÇÃO,7.82,1.90,3.84,2.89
AFINAR,5.80,1.54,3.65,2.09
AFOGAR,2.53,2.26,6.24,2.61
AGILIDADE,7.50,1.58,5.33,2.84
AGONIA,2.05,1.97,6.61,2.70
AGRADÁVEL,8.15,1.25,3.18,2.49
AGRADECIDO,8.42,1.52,3.32,2.98
AGRESSIVO,1.89,1.66,6.67,2.99
ÁGUA,8.35,1.40,3.00,2.90
AGULHA,4.04,1.98,4.93,2.54
ALCOÓLICO,2.76,2.84,6.34,2.68
ALEGRE,8.44,1.07,4.04,2.97
ALEGRIA,8.61,1.46,4.87,3.44
ALERGIA,4.02,3.31,5.20,3.00
ALERTA,6.08,2.42,5.08,2.94
ALERTO,5.67,2.06,4.95,2.64
ALIMENTO,8.26,1.27,3.61,3.07
ALVORECER,6.24,2.38,3.09,2.22
AMABILIDADE,7.68,2.04,3.50,2.96
AMADO,8.31,1.39,3.49,3.00
AMARELO,6.76,2.29,3.11,2.38
AMÁVEL,8.09,1.60,3.40,2.88
AMBIÇÃO,5.00,3.08,5.92,3.00
AMBULÂNCIA,2.47,2.28,6.30,3.00
AMEAÇA,1.87,1.68,6.71,2.73
AMIGÁVEL,8.25,1.34,3.36,2.93
AMIGO,8.74,0.79,3.68,3.24
AMOR,8.75,0.89,4.39,3.57
ANGUSTIADO,2.22,1.90,6.65,2.32
ANIMAÇÃO,8.33,1.43,4.64,3.03
ANIVERSÁRIO,8.39,1.22,4.71,3.34
ANJO,8.06,1.59,2.45,2.16
ANSEIO,5.11,2.48,5.18,2.50
ANSIOSO,3.50,2.44,7.05,2.44
APARELHO,6.00,2.29,3.13,2.58
APÁTICO,3.21,2.02,4.93,2.69
APLAUSO,8.21,1.17,4.95,3.25
APRENDER,7.86,1.81,4.78,3.03
AR,8.39,1.24,2.57,2.72
