palavra,negative,positive
vivemos,0.367211231177,0.632788768823
relogio,0.486878885138,0.513121114862
gabrielli,0.675710753027,0.324289246973
intencionadas,0.723711512688,0.276288487312
precisao,0.201597037778,0.798402962222
guardar,0.630930498853,0.369069501147
subestacao,0.617128226295,0.382871773705
barragem,0.720038925145,0.279961074855
repeticao,0.742794729399,0.257205270601
otimistas,0.365501329174,0.634498670826
avelar,0.551023614787,0.448976385213
premissas,0.461992106532,0.538007893468
filao,0.546098762732,0.453901237268
elogiar,0.297830541555,0.702169458445
desinstala,0.491513611708,0.508486388292
igual,0.414599912824,0.585400087176
filas,0.536202778484,0.463797221516
josirene,0.591973324045,0.408026675955
adequado,0.294013568678,0.705986431322
gastara,0.60430067006,0.39569932994
esperados,0.174524983091,0.825475016909
adequada,0.280397499623,0.719602500377
reestruturar,0.21418864398,0.78581135602
fidelidade,0.131403734718,0.868596265282
atingir,0.335312709259,0.664687290741
atingiu,0.244565766603,0.755434233397
difamacao,0.636568270668,0.363431729332
oceano,0.658684045059,0.341315954941
religiao,0.629268081681,0.370731918319
cabeamento,0.63958469674,0.36041530326
tributarios,0.663622615229,0.336377384771
whitman,0.607971028491,0.392028971509
minimalista,0.329609891569,0.670390108431
desatualizado,0.675967188704,0.324032811296
caotico,0.612509788738,0.387490211262
solid,0.251225136914,0.748774863086
importantes,0.497645674125,0.502354325875
pivo,0.618199602581,0.381800397419
basico,0.151915695178,0.848084304822
conste,0.267797418987,0.732202581013
pulso,0.660614847693,0.339385152307
imediatamente,0.331372470605,0.668627529395
miller,0.275050319226,0.724949680774
encorajar,0.189724979903,0.810275020097
economizar,0.547995613858,0.452004386142
tirem,0.498374865885,0.501625134115
conversao,0.222029512983,0.777970487017
sensibilizar,0.222303102596,0.777696897404
admirar,0.264586752857,0.735413247143
derrotada,0.699273994719,0.300726005281
kaszek,0.219879693973,0.780120306027
derrotado,0.49152049554,0.50847950446
expressivos,0.219516040062,0.780483959938
mogi,0.345850482721,0.654149517279
semaforo,0.664467788932,0.335532211068
demostenes,0.66490511034,0.33509488966
cars,0.617052051187,0.382947948813
dialogo,0.332486550446,0.667513449554
enganado,0.684715340581,0.315284659419
fracassou,0.559311933431,0.440688066569
erros,0.685045810794,0.314954189206
defasagem,0.646704826924,0.353295173076
explorar,0.538829684164,0.461170315836
acenou,0.247585550137,0.752414449863
dirigindo,0.586915276011,0.413084723989
retaliar,0.551600439889,0.448399560111
retomada,0.663932808441,0.336067191559
exploram,0.64922920864,0.35077079136
desacordo,0.521277792175,0.478722207825
reportem,0.587800986291,0.412199013709
linha,0.204792912404,0.795207087596
pancreas,0.512413161645,0.487586838355
mestres,0.162822768648,0.837177231352
embarcar,0.55046651335,0.44953348665
ocuparam,0.592043567466,0.407956432534
postou,0.458329429009,0.541670570991
modestas,0.563505609541,0.436494390459
concebidas,0.17119849193,0.82880150807
controverso,0.601689112514,0.398310887486
fui,0.353292777351,0.646707222649
assespro,0.590245200572,0.409754799428
9h,0.444839324699,0.555160675301
divide,0.387881554619,0.612118445381
9a,0.200958888456,0.799041111544
desenvolvam,0.168718552506,0.831281447494
erradas,0.692541545143,0.307458454857
unir,0.293651391263,0.706348608737
comparecer,0.602403160425,0.397596839575
compareceu,0.266416577922,0.733583422078
comemorar,0.54392396865,0.45607603135
uniu,0.200668683885,0.799331316115
rotatividade,0.275169892303,0.724830107697
card,0.27553899034,0.72446100966
sinalizar,0.645536152028,0.354463847972
reformular,0.341969478337,0.658030521663
lanche,0.45117382642,0.54882617358
rapidamente,0.367624005645,0.632375994355
encher,0.603600854731,0.396399145269
abordaram,0.294489147367,0.705510852633
interamericano,0.166914221568,0.833085778432
bilionarias,0.452245034089,0.547754965911
mexer,0.568364710672,0.431635289328
woolwine,0.292575241577,0.707424758423
empregaticio,0.268380727271,0.731619272729
jmj,0.610922323843,0.389077676157
saloes,0.278780588592,0.721219411408
thinkpad,0.523324851948,0.476675148052
destruiu,0.544536773328,0.455463226672
embratel,0.221958596621,0.778041403379
hold,0.390771621641,0.609228378359
destruir,0.560926219059,0.439073780941
trouxer,0.24337371179,0.75662628821
imprimindo,0.669526926354,0.330473073646
girou,0.536510471806,0.463489528194
superaram,0.250908996951,0.749091003049
suportando,0.151429396306,0.848570603694
temas,0.49591508566,0.50408491434
invisivel,0.560059972203,0.439940027797
distracao,0.487744441273,0.512255558727
assustado,0.649229553805,0.350770446195
ladroes,0.745377182608,0.254622817392
zenteno,0.241600263745,0.758399736255
adquirir,0.514676552908,0.485323447092
desligar,0.49603425865,0.50396574135
paralisadas,0.781184625207,0.218815374793
empreendedores,0.139822337675,0.860177662325
derivados,0.630000108968,0.369999891032
ocupacional,0.242201649951,0.757798350049
imprevisto,0.482806045888,0.517193954112
absoluta,0.602627338524,0.397372661476
depressao,0.539070704042,0.460929295958
aceitou,0.430699482197,0.569300517803
hon,0.662136648053,0.337863351947
deterioracao,0.736111047796,0.263888952204
symposium,0.258391348587,0.741608651413
afeganistao,0.736539418721,0.263460581279
constante,0.503739637139,0.496260362861
balada,0.40630285571,0.59369714429
preferia,0.424150129175,0.575849870825
regulamentando,0.575083832651,0.424916167349
endossado,0.307224748189,0.692775251811
incentivar,0.245012403267,0.754987596733
ordenar,0.349493647915,0.650506352085
preferiu,0.455419203629,0.544580796371
revelia,0.63768659112,0.36231340888
preferir,0.240216955377,0.759783044623
ienes,0.515575274347,0.484424725653
sentir,0.428779249289,0.571220750711
secretos,0.558652766806,0.441347233194
eficientemente,0.156317879254,0.843682120746
desempenhando,0.552503744222,0.447496255778
vicio,0.469756003002,0.530243996998
continuos,0.515267053743,0.484732946257
intrusoes,0.758057431901,0.241942568099
continuou,0.301124731534,0.698875268466
alias,0.254647350972,0.745352649028
sentia,0.607014665542,0.392985334458
wimax,0.559351073207,0.440648926793
extrapolar,0.640502718661,0.359497281339
lindbergh,0.306907020341,0.693092979659
romper,0.599689642582,0.400310357418
arrecadar,0.617638177381,0.382361822619
culpou,0.672668077171,0.327331922829
supressao,0.723405478998,0.276594521002
prontamente,0.219042373954,0.780957626046
fomenta,0.174889064819,0.825110935181
infraestrutura,0.275311916153,0.724688083847
vara,0.320591047309,0.679408952691
substituem,0.641124317216,0.358875682784
otavio,0.223585322639,0.776414677361
estudava,0.616486710022,0.383513289978
demite,0.659763816944,0.340236183056
separadamente,0.575795691804,0.424204308196
fip,0.126585355971,0.873414644029
setima,0.488310857685,0.511689142315
estatisticos,0.227195796511,0.772804203489
utilizacao,0.523386945348,0.476613054652
wales,0.40460626031,0.59539373969
solucionou,0.516894135843,0.483105864157
surgir,0.449703304254,0.550296695746
caotica,0.536320324153,0.463679675847
transmissores,0.639206915281,0.360793084719
imensamente,0.636652644512,0.363347355488
itanium,0.634455098051,0.365544901949
prize,0.261532084645,0.738467915355
chocado,0.423554728839,0.576445271161
inconsistencia,0.711221634177,0.288778365823
abordar,0.372663868666,0.627336131334
decom,0.643693746895,0.356306253105
termica,0.634696279094,0.365303720906
certics,0.130691464885,0.869308535115
outorgas,0.602457727764,0.397542272236
interessado,0.200285861817,0.799714138183
feinberg,0.221882624865,0.778117375135
realizou,0.169621487915,0.830378512085
minoritario,0.594655477382,0.405344522618
sincronizar,0.569359822749,0.430640177251
renovada,0.200203269113,0.799796730887
financiar,0.201896119705,0.798103880295
inexperiencia,0.695169370914,0.304830629086
rt,0.540620204434,0.459379795566
maluco,0.367872132438,0.632127867562
embarcacoes,0.340327352918,0.659672647082
resfriar,0.657203789144,0.342796210856
biocombustiveis,0.617926895119,0.382073104881
causou,0.691628103286,0.308371896714
semiconductor,0.603838358902,0.396161641098
perigosas,0.693508886378,0.306491113622
ro,0.661163728662,0.338836271338
permitira,0.11058746134,0.88941253866
ri,0.270086427673,0.729913572327
desocupada,0.629532521988,0.370467478012
distrital,0.354070101007,0.645929898993
beleza,0.224884394065,0.775115605935
atualizacoes,0.261514978821,0.738485021179
navio,0.683522554935,0.316477445065
cobrados,0.306988742447,0.693011257553
programavel,0.277344296659,0.722655703341
veemente,0.681165351469,0.318834648531
taubate,0.258707478941,0.741292521059
avancar,0.51763601603,0.48236398397
bateu,0.616433704242,0.383566295758
bates,0.261496083952,0.738503916048
bater,0.633080691349,0.366919308651
desencorajar,0.729216282938,0.270783717062
cofre,0.655267457064,0.344732542936
atm,0.572595134971,0.427404865029
falecido,0.44951560348,0.55048439652
alterar,0.625934678979,0.374065321021
deixar,0.595886480509,0.404113519491
humanidade,0.381899929522,0.618100070478
exaustao,0.654061751368,0.345938248632
hgst,0.366862524416,0.633137475584
confortaveis,0.577511124068,0.422488875932
imensa,0.258883553155,0.741116446845
superacao,0.516915332585,0.483084667415
reduzira,0.568908799659,0.431091200341
interpretam,0.677591436135,0.322408563865
patrocinadora,0.584298587555,0.415701412445
imenso,0.372245783902,0.627754216098
interpretar,0.332612459586,0.667387540414
megabytes,0.421921577968,0.578078422032
agregar,0.129776190705,0.870223809295
compromisso,0.177643378657,0.822356621343
estragos,0.757921591839,0.242078408161
impossiveis,0.657384660096,0.342615339904
provado,0.28662074332,0.71337925668
servico,0.178101288788,0.821898711212
incerto,0.442453500438,0.557546499562
indenizacao,0.710155246438,0.289844753562
rony,0.295458834812,0.704541165188
corrigido,0.653764747985,0.346235252015
eficiencia,0.258734316168,0.741265683832
inocentes,0.764096373434,0.235903626566
ageis,0.160003053813,0.839996946187
modens,0.690931101118,0.309068898882
proposital,0.675483609934,0.324516390066
17h,0.62694992657,0.37305007343
afetara,0.291707604514,0.708292395486
utilizadas,0.244712794048,0.755287205952
compatibilidade,0.174505851158,0.825494148842
detencao,0.760703464591,0.239296535409
contestacoes,0.347499401406,0.652500598594
fenadados,0.631637596967,0.368362403033
idle,0.604087651328,0.395912348672
dominar,0.367671472862,0.632328527138
ancora,0.384226307034,0.615773692966
blocao,0.645370880472,0.354629119528
motivadas,0.420615090955,0.579384909045
fundamentos,0.464541873488,0.535458126512
pesado,0.537287575453,0.462712424547
reportagem,0.51095276794,0.48904723206
longo,0.506189746393,0.493810253607
desejado,0.163672046629,0.836327953371
diferenciacao,0.279739351062,0.720260648938
estacionar,0.624298443122,0.375701556878
longe,0.599255108214,0.400744891786
omissao,0.723617463232,0.276382536768
preparado,0.36599077411,0.63400922589
receber,0.603737923105,0.396262076895
eles,0.400038398074,0.599961601926
13h30,0.294651763504,0.705348236496
recebeu,0.228009420629,0.771990579371
preparada,0.351192287164,0.648807712836
kremlin,0.596964697383,0.403035302617
proibe,0.520502458014,0.479497541986
conceder,0.624633594874,0.375366405126
belem,0.64194133586,0.35805866414
comecando,0.207437905775,0.792562094225
object,0.497987664703,0.502012335297
desmembramento,0.704610973199,0.295389026801
divulgados,0.287168458122,0.712831541878
organization,0.243121941671,0.756878058329
embate,0.532957534714,0.467042465286
conversando,0.369541455726,0.630458544274
macbook,0.226370127055,0.773629872945
cerest,0.649217554496,0.350782445504
microempreendedor,0.169554784046,0.830445215954
implicaria,0.673817832098,0.326182167902
adiciona,0.538704487867,0.461295512133
aspectos,0.45153835129,0.54846164871
produtoras,0.204120477709,0.795879522291
tridimensional,0.488671660746,0.511328339254
camp,0.233303716503,0.766696283497
crianca,0.443101587816,0.556898412184
monitoradas,0.741222074104,0.258777925896
incompleto,0.552157419287,0.447842580713
leahy,0.681963024983,0.318036975017
insubstituivel,0.231750551722,0.768249448278
cama,0.302744132946,0.697255867054
panama,0.272416645416,0.727583354584
endler,0.194824098398,0.805175901602
unificado,0.159978850761,0.840021149239
enfraquece,0.648101434625,0.351898565375
violada,0.699348330585,0.300651669415
asia,0.342560309812,0.657439690188
violado,0.693778542179,0.306221457821
afericao,0.516112515539,0.483887484461
697,0.631021565244,0.368978434756
disseminou,0.199139749017,0.800860250983
695,0.64615651508,0.35384348492
capex,0.536823316508,0.463176683492
concordado,0.264212264525,0.735787735475
rico,0.309669257563,0.690330742437
bush,0.340622623471,0.659377376529
dwdm,0.290472346192,0.709527653808
disponiveis,0.167407598412,0.832592401588
sapucai,0.247534025445,0.752465974555
relatorio,0.652279992332,0.347720007668
rica,0.322392143106,0.677607856894
consignacao,0.316605143175,0.683394856825
motivar,0.286056066745,0.713943933255
realinhamento,0.155250085461,0.844749914539
reconquistar,0.249441592381,0.750558407619
descritas,0.190833359507,0.809166640493
valente,0.230585164367,0.769414835633
salve,0.561070783595,0.438929216405
disser,0.407435921529,0.592564078471
relacional,0.197254720517,0.802745279483
vassouras,0.521752906078,0.478247093922
uniformemente,0.251297882158,0.748702117842
policial,0.728006505112,0.271993494888
modernas,0.179985437114,0.820014562886
lerem,0.293494441257,0.706505558743
desfavoraveis,0.636732234256,0.363267765744
peixe,0.372729987719,0.627270012281
zabbix,0.393214317654,0.606785682346
fatiar,0.350627221405,0.649372778595
apropriado,0.207329785872,0.792670214128
peltier,0.668015064949,0.331984935051
apropriada,0.35513501198,0.64486498802
policias,0.680184563322,0.319815436678
pople,0.644315407992,0.355684592008
disaster,0.327225725635,0.672774274365
guerra,0.717939443707,0.282060556293
precatorios,0.688257912964,0.311742087036
bloqueio,0.745820254756,0.254179745244
alertam,0.730305331103,0.269694668897
indisponibilidade,0.743917851794,0.256082148206
bloqueia,0.402275981848,0.597724018152
altamente,0.316352964976,0.683647035024
oceania,0.255637231454,0.744362768546
explicacao,0.634455246448,0.365544753552
conspiracao,0.734041461724,0.265958538276
embaixadora,0.255900187957,0.744099812043
regulatoria,0.626175524393,0.373824475607
movendo,0.356962430979,0.643037569021
destruidos,0.692208595603,0.307791404397
melissa,0.245678893444,0.754321106556
ira,0.313607460199,0.686392539801
preserva,0.255936592204,0.744063407796
macroeconomicas,0.580034884842,0.419965115158
personaliza,0.204826784472,0.795173215528
subsolo,0.692711270361,0.307288729639
priorizadas,0.616778788586,0.383221211414
advertiu,0.323803475383,0.676196524617
ordenou,0.531634057606,0.468365942394
met,0.610372701558,0.389627298442
custar,0.612719060344,0.387280939656
massificacao,0.48467935684,0.51532064316
tanque,0.611580552403,0.388419447597
concentrar,0.201274388582,0.798725611418
pupatto,0.562895450914,0.437104549086
culpando,0.345495726815,0.654504273185
alienacao,0.679053993172,0.320946006828
visivel,0.419909262813,0.580090737187
salario,0.262157547348,0.737842452652
avancos,0.209939143221,0.790060856779
guardadas,0.71252547484,0.28747452516
praticado,0.652185974512,0.347814025488
retracao,0.486772391977,0.513227608023
praticada,0.68803437998,0.31196562002
escalada,0.714901037232,0.285098962768
manualmente,0.277032685738,0.722967314262
esboco,0.470118449455,0.529881550545
heterogeneas,0.415381689854,0.584618310146
tarefa,0.603840153404,0.396159846596
avisado,0.478232028976,0.521767971024
voadores,0.566605020184,0.433394979816
apoiam,0.290384190755,0.709615809245
assegurando,0.132563666469,0.867436333531
investiga,0.689271646077,0.310728353923
flexibilidade,0.140425023287,0.859574976713
slas,0.200096259539,0.799903740461
genericamente,0.317755241082,0.682244758918
gobierno,0.675260903341,0.324739096659
comportamentos,0.437513894825,0.562486105175
aiea,0.692548431558,0.307451568442
assassinatos,0.683995099035,0.316004900965
alega,0.487190287156,0.512809712844
regus,0.328208041687,0.671791958313
medida,0.311304698862,0.688695301138
sanitario,0.63644187615,0.36355812385
pressionou,0.681882954316,0.318117045684
orientacoes,0.200730307734,0.799269692266
roubadas,0.761854812587,0.238145187413
risco,0.709209826452,0.290790173548
burocratas,0.682167419664,0.317832580336
adolescente,0.470006562553,0.529993437447
subcontratar,0.668694729267,0.331305270733
risca,0.28428667479,0.71571332521
importancia,0.300343238196,0.699656761804
divorcio,0.729389567653,0.270610432347
subjacente,0.531111563348,0.468888436652
barreiras,0.599130172936,0.400869827064
conservadora,0.426298524242,0.573701475758
escaneamento,0.307532499016,0.692467500984
climatica,0.631917993812,0.368082006188
contribuido,0.217882707969,0.782117292031
memorial,0.631206504437,0.368793495563
aceitaveis,0.68037390435,0.31962609565
reprimir,0.733919920042,0.266080079958
indubitavelmente,0.229972543991,0.770027456009
roteiro,0.164659562006,0.835340437994
memorias,0.613654864683,0.386345135317
memoria,0.54269383398,0.45730616602
agarrar,0.675560381915,0.324439618085
refis,0.51715556722,0.48284443278
controversa,0.641145195494,0.358854804506
homenagem,0.385589926054,0.614410073946
topo,0.20782162769,0.79217837231
hectares,0.508617369264,0.491382630736
a2f,0.264701381895,0.735298618105
dedica,0.191242344924,0.808757655076
saido,0.614609590263,0.385390409737
intrusion,0.68413069837,0.31586930163
incorruptivel,0.322087424471,0.677912575529
algum,0.281961243619,0.718038756381
bacana,0.407264033657,0.592735966343
maximo,0.4907494649,0.5092505351
academia,0.41816973357,0.58183026643
concorrencial,0.302244231759,0.697755768241
propagam,0.689167723358,0.310832276642
arrependimento,0.581641667351,0.418358332649
factivel,0.246383509695,0.753616490305
letra,0.624025027376,0.375974972624
prorrogavel,0.603002071529,0.396997928471
divida,0.513415211707,0.486584788293
desaparecer,0.437199735725,0.562800264275
etico,0.383773379387,0.616226620613
ctis,0.243217290986,0.756782709014
lisias,0.179559960751,0.820440039249
preparando,0.222333489927,0.777666510073
destacar,0.225754476975,0.774245523025
perturbar,0.635766641338,0.364233358662
fizer,0.575484536747,0.424515463253
lefevre,0.591232181385,0.408767818615
arquivista,0.230588949044,0.769411050956
deslizes,0.654033366124,0.345966633876
insatisfeita,0.638610567172,0.361389432828
hai,0.672537582822,0.327462417178
fraga,0.620032636565,0.379967363435
repassados,0.602780725595,0.397219274405
comemoram,0.587059864581,0.412940135419
insatisfeito,0.534038854231,0.465961145769
comprometer,0.633690634908,0.366309365092
espionadas,0.66250778163,0.33749221837
sofrimento,0.66590758271,0.33409241729
formando,0.494712733963,0.505287266037
atualizadas,0.244877828206,0.755122171794
remediar,0.525858160475,0.474141839525
cuidem,0.207096335596,0.792903664404
assuste,0.633039609199,0.366960390801
encolhendo,0.517111165737,0.482888834263
municipal,0.196632699604,0.803367300396
duplicacao,0.457569768208,0.542430231792
convocou,0.620478207791,0.379521792209
esconder,0.523835318529,0.476164681471
exigente,0.433376104396,0.566623895604
entendessem,0.314700566975,0.685299433025
exagerado,0.450557719118,0.549442280882
intimacao,0.532442633308,0.467557366692
shadow,0.604397378851,0.395602621149
adequar,0.18826850333,0.81173149667
catastrofes,0.680720762962,0.319279237038
rigidos,0.488602314748,0.511397685252
expedido,0.609675687374,0.390324312626
contratada,0.201018255733,0.798981744267
queimando,0.56001304235,0.43998695765
irreparaveis,0.540807779797,0.459192220203
raimunda,0.244262556122,0.755737443878
afronta,0.526288079843,0.473711920157
complexa,0.394292010802,0.605707989198
partindo,0.595616134753,0.404383865247
dispostos,0.335398434917,0.664601565083
sebastiao,0.266371177888,0.733628822112
complexo,0.496577408005,0.503422591995
traumatologia,0.667466944635,0.332533055365
estourou,0.628784994844,0.371215005156
esgotado,0.586107862588,0.413892137412
ola,0.583584371683,0.416415628317
ignorando,0.425596217663,0.574403782337
jorgina,0.527949900309,0.472050099691
hidrogenio,0.672858435079,0.327141564921
culpam,0.266780399134,0.733219600866
reduza,0.580917490323,0.419082509677
enfrentado,0.275685698862,0.724314301138
arrogancia,0.695761351528,0.304238648472
movimentacao,0.699526441894,0.300473558106
beneficiar,0.350980299385,0.649019700615
reparo,0.643630898245,0.356369101755
solicitacao,0.67088957876,0.32911042124
baratas,0.239770478562,0.760229521438
ansioso,0.393022620256,0.606977379744
focando,0.182943928016,0.817056071984
fabricados,0.442474108558,0.557525891442
afinar,0.218758417356,0.781241582644
muito,0.377578952744,0.622421047256
maneira,0.336189131442,0.663810868558
galinha,0.641911022056,0.358088977944
uma,0.207102187489,0.792897812511
cocaina,0.689537307353,0.310462692647
muita,0.610563882826,0.389436117174
oficio,0.655793806821,0.344206193179
defensiva,0.557914575655,0.442085424345
alterada,0.453671570362,0.546328429638
antifragil,0.553465970203,0.446534029797
delito,0.736203888249,0.263796111751
alterado,0.41964572012,0.58035427988
defensivo,0.600864180567,0.399135819433
atestar,0.200320805303,0.799679194697
stefanini,0.162542003537,0.837457996463
coari,0.317719324913,0.682280675087
o,0.196062456738,0.803937543262
espionando,0.613423146792,0.386576853208
bateria,0.226967507275,0.773032492725
soa,0.190443808776,0.809556191224
sob,0.592020461139,0.407979538861
abundancia,0.20891097654,0.79108902346
remocao,0.712862420496,0.287137579504
reclamou,0.64519713551,0.35480286449
decorar,0.280497875251,0.719502124749
sol,0.45919349197,0.54080650803
otimizar,0.233273298254,0.766726701746
imponha,0.648681445419,0.351318554581
koum,0.42355901876,0.57644098124
ouvem,0.297610957204,0.702389042796
indeterminado,0.486946963657,0.513053036343
consciencia,0.402846596031,0.597153403969
mbr,0.617291578274,0.382708421726
facilita,0.183243985128,0.816756014872
novo,0.16115359988,0.83884640012
tuberculose,0.717365054479,0.282634945521
fabric,0.398672347702,0.601327652298
altitude,0.740079617762,0.259920382238
desconfiado,0.665057799706,0.334942200294
trabalhadoras,0.304906214443,0.695093785557
nova,0.185533414089,0.814466585911
tenhamos,0.510631475818,0.489368524182
solicitado,0.447551760915,0.552448239085
jane,0.587158611837,0.412841388163
apresento,0.190228795802,0.809771204198
viuva,0.465135812588,0.534864187412
ubiqua,0.394590976399,0.605409023601
solicitada,0.643308723455,0.356691276545
conseguira,0.206781370798,0.793218629202
lauretti,0.208974215269,0.791025784731
pediram,0.322067829239,0.677932170761
ganhando,0.349215527066,0.650784472934
realizando,0.222468200271,0.777531799729
talento,0.259172226946,0.740827773054
bolsoes,0.304399286086,0.695600713914
densas,0.300068735603,0.699931264397
precisariam,0.236888570797,0.763111429203
pesa,0.397661728137,0.602338271863
chuvas,0.756848076399,0.243151923601
razoavelmente,0.304082734103,0.695917265897
vencedora,0.181561567826,0.818438432174
arrays,0.324752327957,0.675247672043
delacao,0.729035239234,0.270964760766
interruptor,0.652097557745,0.347902442255
peso,0.216628474997,0.783371525003
pesou,0.592952329382,0.407047670618
pensamento,0.343568021338,0.656431978662
desnecessaria,0.65825027799,0.34174972201
cumprir,0.391307959224,0.608692040776
silicio,0.383928793857,0.616071206143
vencedores,0.271193421942,0.728806578058
implantacao,0.333416988101,0.666583011899
desnecessario,0.43188653651,0.56811346349
legislacao,0.496943884802,0.503056115198
sugiro,0.189374589869,0.810625410131
tucurui,0.659949168104,0.340050831896
moderna,0.163257311457,0.836742688543
elop,0.600874906907,0.399125093093
condenar,0.698898898528,0.301101101472
moderno,0.270603537823,0.729396462177
minar,0.628152535164,0.371847464836
ddos,0.74475535671,0.25524464329
condenam,0.507722500883,0.492277499117
pretensao,0.563518816325,0.436481183675
liberar,0.62342223965,0.37657776035
qualidades,0.253188338327,0.746811661673
funcione,0.155118992525,0.844881007475
oficinas,0.393094432403,0.606905567597
zani,0.322630176767,0.677369823233
encontrado,0.646753940848,0.353246059152
cabera,0.533929101665,0.466070898335
relacionais,0.545579105216,0.454420894784
ecossistemas,0.147939492314,0.852060507686
serventia,0.42757402451,0.57242597549
propositos,0.600920218197,0.399079781803
palma,0.571120118051,0.428879881949
perturbador,0.421248540843,0.578751459157
transportes,0.58662320185,0.41337679815
buscava,0.482632028864,0.517367971136
obito,0.656609098103,0.343390901897
glass,0.56471981903,0.43528018097
motivador,0.583178036918,0.416821963082
avancando,0.215591071483,0.784408928517
duros,0.598628620555,0.401371379445
durou,0.643451383303,0.356548616697
alegou,0.658871985635,0.341128014365
considerado,0.394075076709,0.605924923291
reiniciar,0.661409351474,0.338590648526
apto,0.192499481384,0.807500518616
apts,0.563757362003,0.436242637997
avalanche,0.631448729439,0.368551270561
skate,0.633892580108,0.366107419892
veterano,0.197864341978,0.802135658022
subindo,0.615320044267,0.384679955733
ver,0.374840566409,0.625159433591
fraudulentos,0.768061062884,0.231938937116
vez,0.221711595627,0.778288404373
comum,0.561212151451,0.438787848549
infringindo,0.505763067543,0.494236932457
posicao,0.557419460495,0.442580539505
depressivos,0.704764196576,0.295235803424
articulacao,0.554947281819,0.445052718181
contribuinte,0.275223339609,0.724776660391
egipcia,0.481675896442,0.518324103558
estagnacao,0.690405529356,0.309594470644
egipcio,0.686616889017,0.313383110983
olympus,0.542139567077,0.457860432923
destravar,0.508741837164,0.491258162836
suposta,0.73868997817,0.26131002183
caos,0.712349772507,0.287650227493
granja,0.511043964299,0.488956035701
rayner,0.579799398331,0.420200601669
criminais,0.424723616553,0.575276383447
farra,0.709047876636,0.290952123364
nomes,0.27090079462,0.72909920538
imobiliarias,0.291750699863,0.708249300137
montar,0.191435302247,0.808564697753
capacitacao,0.100556686018,0.899443313982
macapa,0.431550240046,0.568449759954
contratacao,0.554737345261,0.445262654739
conhecendo,0.200793054266,0.799206945734
percebi,0.383264292655,0.616735707345
gratuitas,0.201833378205,0.798166621795
perceba,0.686005881576,0.313994118424
reflete,0.201120036305,0.798879963695
participara,0.159059397914,0.840940602086
roesch,0.224419665272,0.775580334728
seduzir,0.586019754508,0.413980245492
hegemonia,0.659040350518,0.340959649482
cientistas,0.516448251853,0.483551748147
relutancia,0.647398575515,0.352601424485
headset,0.228901805475,0.771098194525
prevista,0.26147405849,0.73852594151
aproximar,0.283070985778,0.716929014222
desperdicios,0.522247786265,0.477752213735
sintomas,0.495210812407,0.504789187593
alienar,0.578426556138,0.421573443862
multissetorial,0.18288131146,0.81711868854
nacao,0.633611663598,0.366388336402
desaprovacao,0.68953727028,0.31046272972
principales,0.640447943614,0.359552056386
pedagogia,0.591474894396,0.408525105604
juro,0.490752549586,0.509247450414
destituicao,0.30477090347,0.69522909653
juri,0.668375654538,0.331624345462
ditado,0.455696969499,0.544303030501
pintam,0.499847855591,0.500152144409
ajudou,0.304312077708,0.695687922292
mailpoet,0.693902142354,0.306097857646
cifragem,0.725503990245,0.274496009755
militar,0.692455758002,0.307544241998
afirma,0.17772071706,0.82227928294
consequencia,0.435395352245,0.564604647755
acrescimo,0.278009985614,0.721990014386
afirme,0.631098603632,0.368901396368
gigawatts,0.676370987291,0.323629012709
orquestrar,0.150758092986,0.849241907014
conveniencia,0.145218117984,0.854781882016
provocada,0.376528967031,0.623471032969
anticompetitiva,0.27615465385,0.72384534615
propenso,0.651277600334,0.348722399666
provocado,0.538054913648,0.461945086352
40gbe,0.570828106525,0.429171893475
